No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),average uploadtime(ms),average downloadtime(ms),simulation time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs)
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,6,-1.0,1757.4532145131036,937.6341787974039,624.8177083333334,312.4088541666667,5.6258050727844235,3.74890625,1.874453125,0.0,0.0072307586669921875
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,140,300,<-parameter / result->,27,-1.0,3194.2654370207392,1952.6483175489639,1301.4713541666665,650.7356770833333,52.721504573822024,35.139726562499995,17.569863281249997,0.0,0.04564046859741211
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,6,-1.0,1783.3753775119471,963.3289782206219,641.9401041666666,320.9700520833333,5.779973869323731,3.8516406249999995,1.9258203124999997,0.0,0.007645130157470703
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,6,-1.0,1767.1561309458068,965.4966290791829,643.3854166666667,321.69270833333337,5.792979774475097,3.8603125,1.93015625,0.0,0.007467746734619141
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,8,-1.0,2218.2630150128557,1275.1589715480804,849.822998046875,424.9114990234375,10.201271772384644,6.798583984375,3.3992919921875,0.0,0.01064300537109375
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,8,-1.0,2220.487367316165,1274.468916654587,849.3530273437501,424.67651367187506,10.195751333236696,6.7948242187500005,3.3974121093750003,0.0,0.011137008666992188
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,6,-1.0,1787.4417077155197,967.2188758850098,644.5312499999999,322.26562499999994,5.803313255310059,3.8671874999999996,1.9335937499999998,0.0,0.007569789886474609
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,14,-1.0,2690.3345311158864,1629.3699816295077,1085.9556361607142,542.9778180803571,22.81117974281311,15.203378906250002,7.601689453125001,0.0,0.0213773250579834
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,8,-1.0,2203.6707367201366,1275.5740284919739,850.0976562499999,425.04882812499994,10.204592227935791,6.800781249999999,3.4003906249999996,0.0,0.01096343994140625
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,150,300,<-parameter / result->,14,-1.0,2654.2800311516366,1619.5926550456454,1079.4349888392858,539.7174944196429,22.674297170639036,15.11208984375,7.556044921875,0.0,0.021813392639160156
